,DSSTox_CID,FW,Formula,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,smiles,smiles_parent,NumAtoms
39,2933,764.9391,C41H64O13,,,,,,,,,,0.0,,,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,54
40,3532,530.6497,C30H42O8,,,,,,,,,,0.0,,,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,38
41,1715,172.1800,C11H8O2,,,,,,,,1.0,,,,,CC1=CC(=O)c2ccccc2C1=O,CC1=CC(=O)c2ccccc2C1=O,13
42,6181,449.9201,C13H8Br3NO2,,,,,,,,,,1.0,,,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,19
43,26101,376.3588,C22H16O6,,,,,,,,,,0.0,,,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,28
44,21759,378.4741 (298.5695+79.9045),C20H44BrN,,,,,,,,1.0,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CC,21
45,3810,448.0809 (412.6273+35.4535),C27H42ClNO2,,,,,,,,1.0,,,,,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,30
46,15708,462.1075 (426.6539+35.4535),C28H44ClNO2,,,,,,,,1.0,,,,,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C.[Cl-],Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C,31
47,25490,460.7619 (397.7491+63.0128),C18H16Cl3N3O3S,,,,,,,,,,1.0,,,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,24
48,31491,447.4831,C25H25N3O5,,,,,,,,,,1.0,,,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,33
49,2592,645.3116,C25H29I2NO3,,,,,,,,0.0,,,,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,31
50,24204,568.5506 (495.6287+36.4609+36.4609),C29H40Cl2FN3O3,,,,,,,,,,0.0,,,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,36
51,29360,407.0355 (370.5745+36.4609),C21H27ClN2S2,0.0,,,,,,,,,,,,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,25
52,26529,267.8358 (231.3749+36.4609),C13H30ClNO2,,,,,,,,,,0.0,,,CCCCCCCCCCOCC(O)CN.Cl,CCCCCCCCCCOCC(O)CN,16
53,26619,387.7112,C16H13Cl3N2OS,,,,,,,,,,1.0,,,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,23
54,27765,459.9624 (343.8902+116.0722),C25H30ClNO5,,,,,,,,,,0.0,,,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,24
55,3656,370.5745,C21H26N2S2,,,,,,,,,,0.0,,,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,25
56,25957,606.7074,C37H38N2O6,,,,,,,,,,0.0,,,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,45
57,26310,434.5176,C23H25F3N2OS,,,,,,,,,,0.0,,,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,30
58,28893,440.9408,C24H26ClFN4O,,,,,,,,,,0.0,,,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,31
59,26104,320.7509,C14H9ClN2O3S,,,,,,,,,,0.0,,,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,21
60,26705,416.5488,C22H40O7,,,,,,,,0.0,,,,,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,29
61,26492,532.5612 (398.4738+134.0874),C26H33FN4O7,,,,,,,,,,0.0,,,CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C1C.O=C(O)CC(O)C(=O)O,CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C1C,29
62,23777,516.5716 (209.2465+209.2465+98.0785),C26H24N6O4S,,,,,,,,,,0.0,,,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,Nc1ccc2cc3ccc(N)cc3nc2c1,16
63,3247,174.1959,C11H10O2,,,,,,,,,,1.0,,,Cc1cc(O)c2ccccc2c1O,Cc1cc(O)c2ccccc2c1O,13
64,3685,273.2408,C14H11NO5,,,,,,,,,,0.0,,,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,20
65,5670,176.1687,C10H8O3,,,,,,,,0.0,,,,,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,13
66,17028,364.4475 (284.5429+79.9045),C19H42BrN,,,,,,,,,,0.0,,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)C,20
67,26606,404.0698 (18.0153+35.4535+18.0153+332.5857),C23H46ClNO2,,,,,,,,,,0.0,,,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-],CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,24
68,26576,480.3839 (126.9050+353.4789),C25H25IN2,,,,,,,,1.0,,,,,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-],CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,27
69,25452,474.7885 (411.7757+63.0128),C19H18Cl3N3O3S,,,,,,,,,,1.0,,,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,25
70,26553,364.5204,C25H32O2,,,,,,,,,,0.0,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,27
71,31414,578.7786,C36H50O6,,,,,,,,,,0.0,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,42
72,25631,310.3917,C22H18N2,,,,,,,,,,1.0,,,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,24
73,28583,530.6545 (470.6026+60.0520),C32H38N2O5,,,,,,,,0.0,,,,,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,35
74,19721,582.8073,C30H62O10,,,,,,,,1.0,,,,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,40
75,26663,528.9402,C30H32Cl3NO,,,,,,,,,,0.0,,,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,35
76,3128,356.4818,C20H24N2O2S,,,,,,,,,,0.0,,,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,25
77,25187,376.9433 (340.4824+36.4609),C20H25ClN2OS,,,,,,,,,,0.0,,,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,24
78,25681,394.3811 (321.4592+36.4609+36.4609),C21H29Cl2N3,,,,,,,,,,0.0,,,C[C@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1.Cl.Cl,C[C@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1,24
79,25085,480.4174 (407.4956+36.4609+36.4609),C21H26Cl2F3N3S,,,,,,,,,,0.0,,,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,28
80,22592,447.9533 (411.4924+36.4609),C22H23ClFN3O2S,,,,,,,,,,1.0,,,Cl.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,29
81,31598,185.6308,C7H4ClNOS,,,,,,,,,,1.0,,,O=c1[nH]sc2cc(Cl)ccc12,O=c1[nH]sc2cc(Cl)ccc12,11
82,3224,382.8832,C22H23ClN2O2,,,,,,,,1.0,,,,,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,27
83,25447,416.1286,C18H14Cl4N2O,,,,,,,,,,1.0,,,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,25
84,2810,315.8602,C18H18ClNS,,,,,,,,,,0.0,,,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,21
85,23881,280.4073,C19H24N2,,,,,,,,,,0.0,,,CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2ccccc21,21
